id_doc,Text's title,Author,original_name,Normalized name,ID wikidata,identifiers,coordinate location,Longitude,Latitude,Type of place,printer,publication place,date
antonio_jose_valdes_delirio_II,Delirio II,Antonio José Valdés,"Rio Janeyro",Río de Janeiro,Rio de Janeiro,Q8678,"-22.91111111111111,-43.205555555555556",-22.91111111111111,-43.205555555555556,Río de Janeiro,Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_II,Delirio II,Antonio José Valdés,"Grenok","Greenock",Greenock,Q217831,"55.95,-4.7666666666667",55.95,-4.7666666666667,"Grenok",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_II,Delirio II,Antonio José Valdés,"Lisboa","Lisboa",Lisbon,Q597,"38.708042,-9.139016",38.708042,-9.139016,"Lisboa",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_II,Delirio II,Antonio José Valdés,"rio Janeyro","río Janeiro",Rio de Janeiro,Q8678,"-22.91111111111111,-43.205555555555556",-22.91111111111111,-43.205555555555556,"río Janeiro",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_II,Delirio II,Antonio José Valdés,"rio Janeyro",río Janeiro,Rio de Janeiro,Q8678,"-22.91111111111111,-43.205555555555556",-22.91111111111111,-43.205555555555556,río Janeiro,Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_II,Delirio II,Antonio José Valdés,"Baltimore","Baltimore",Baltimore,Q5092,"39.286388888889,-76.615",39.286388888889,-76.615,"Baltimore",Imprenta de Gandarillas y socios,Buenos Aires,1816
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"BUENOS AIRES",Buenos Aires,Buenos Aires,Q1486,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,Buenos Aires,Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Provincia de Coluguape","Provincia de Coluguape",Lake General Carrera/Buenos Aires,Q503842,"-46.4375,-71.715",-46.4375,-71.715,"Provincia de Coluguape",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Patagonia Central","Patagonia Central",Patagonia,Q1507,"-41.81015,-68.90627",-41.81015,-68.90627,"Patagonia Central",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Buenos Aires","Buenos Aires",Buenos Aires,Q1486,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,"Buenos Aires",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"la Rioja","la Rioja",La Rioja,Q44236,"-29.4130555556,-66.8558333333",-29.4130555556,-66.8558333333,"la Rioja",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Coluguape","Coluguape",Lake General Carrera/Buenos Aires,Q503842,"-46.4375,-71.715",-46.4375,-71.715,"Coluguape",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Buenos Aires","Buenos Aires",Buenos Aires,Q1486,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,"Buenos Aires",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"República Argentina","República Argentina",Argentina,Q414,"-34,-64",-34,-64,"República Argentina",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Estrecho de Magallanes","Estrecho de Magallanes",Strait of Magellan,Q48365,"-54,-71",-54,-71,"Estrecho de Magallanes",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Rio-Janeiro","Río de Janeiro",Rio de Janeiro,Q8678,"-22.91111111111111,-43.205555555555556",-22.91111111111111,-43.205555555555556,"Río de Janeiro",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Buenos Aires","Buenos Aires",Buenos Aires,Q1486,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,"Buenos Aires",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Asuncion","Asunción",Asunción,Q2933,"-25.3,-57.633333333333",-25.3,-57.633333333333,"Asunción",Igon Hermanos,Buenos Aires,1879
